Review;Rating
Nous avons passé un très bon séjour dans cet hôtel très bien situé dans le 6ème arrondissement à proximité du Sénat et du jardin du Luxembourg. De nombreux bus et métro (station Odéon) permettent de se déplacer facilement particulière ment avec le bus 84. Nous remercions spécialement Cristiano à la conciergerie qui est très souriant, disponible et très sympathique. Enfin le petit déjeuner est excellent que des produits frais et les lits extrêmement confortables. Nous reviendrons et recommandons cet établissement.;4.0
Excellente prestation pour cet hôtel qui mérite largement ses 4 étoiles. Tout d’abord, emplacement idéal en plein saint germain, proche de tout (métro, restaurants, bars, boutiques, cinémas) Tout était parfait, de l’accueil professionnel mais néanmoins chaleureux du staff, de la collation offerte à 15h, de la chambre luxueusement décorée, avec tout ce que requiert un établissement de ce niveau (peignoirs, chaussons, coffre fort, nécessaire de nettoyage de chaussures, sèche cheveux, produits de toilette Nuxe, nombreuses prises, télévision écran plat, mini bar avec boissons offertes, éclairages de qualité) Le petit déjeuner est pantagruélique, sous forme de buffet, toujours renouvelé, comportant tout ce que l’on peut souhaiter en salé comme en sucré. Il y a même une machine à presser les oranges fraîches. Les parties communes sont très agréables, décorées avec goût. Un ascenseur dessert toutes les chambres. Bref, absolument aucune fausse note, y compris la communication, même après le séjour, pour s’assurer de la qualité des prestations proposées. Je reviendrai sans hésiter lors de mes prochains séjours à Paris. En plus, j’ai trouvé un restaurant vietnamien excellent à 5 min de l’hôtel: « le Saigon d’Antan », rue Monsieur le prince! C’est rare que je laisse un commentaire aussi dithyrambique, mais vraiment, aucun faux pas. Y compris le rapport qualité prix. ( tarif d’un 3 étoiles dans le quartier);5.0
Pour un 4 * La chambre est vieillotte petite et pas super propre La salle de bain toute petite avec un part douche sale et très mal pensé Le petit déjeuner avec peu de choix Très déçue !;3.0
En déplacement professionnel sur Paris, j'ai choisi l'Hôtel Trianon pour son emplacement central et je n'ai pas été déçue ! Le personnel est accueillant, les services sont confortables , la literie est impeccable et la chambre propre. Les petites attentions dans la chambre sont appréciables. Le petit déjeuner est frais et copieux. Rien à redire, je reviendrai !;5.0
le petit dejeuner est tres bien et le personnel sympathique,, proche de l'odeon, avec des velib en bas, dans une rue plutot calme, par contre la chambre est a rafraichir car un peu triste malgré les photos lumineuse (1er etage) et la salle de bain minuscule (douche et non baignoire) pour cette chambre deluxe .... odeurs d'égouts signalées plusieurs fois mais pas de propo de changt de chambre (3 nujts pourtant);3.0
Bel hôtel parisien Excellente situation au cœur de Saint germain des prés Très bon accueil. Charmantes petites attentions dans la chambre .;5.0
Comme j'ai réservé au dernier moment j'ai eu droit à un tarif très correct à environ 160 € petit déjeuner + taxe de séjour compris. J'ai apprécié l'offre du petit-déjeuner, ainsi que la taille de la chambre : j'avais la catégorie basique (ch. 452) et pourtant l'espace était très correct avec vue sur la Tour Eiffel, franchement c'était super. Je reviendrai avec plaisir.;5.0
Idéalement situé à deux pas de jardin du Luxembourg, et tout proche du Panthéon, cet hôtel au charme parisien nous a offert tout le confort souhaité. Chambre joliment décorée, Petit déjeuner copieux, personnel accueillant et très chaleureux. Merci pour cet excellent séjour !;5.0
Une annonce d une literie king size pour une chambre Deluxe .en fait 2 matelas de 90 et pas de réaction de L hotel;2.0
Personnel aimable et serviable, chambre propre et literie confortable. Bon petit-déjeuner buffet. Hôtel bien situé.;5.0
